chembl_id,smiles,inchikey,n_groups,group_sizes
CHEMBL6532,C/N=C(/NC(N)=O)NC1c2cc(C#N)ccc2OC(C)(C)[C@H]1O,RPBAVDJWWGGNKS-KIYNQFGBSA-N,8,3;3;3;1;1;1;1;1
CHEMBL6787,CNc1ncnc2c1ncn2Cc1cc(F)ccc1F,CHDUJZHFIFHEHP-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6278,Cc1ccccc1Sc1cncc2sc(C(N)=O)cc12,UKYJEJDOFBKSDL-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6201,Cn1c(CC(=O)O)cc(CO)c1C(=O)c1ccc(Cl)cc1,FBQJXWWENUWXNP-UHFFFAOYSA-N,8,3;2;2;1;1;1;1;1
CHEMBL6344,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,LXXPLXZEGKRZIQ-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL7160,N[C@@H]1CCc2c(ccc(O)c2O)[C@H]1O,RJQPTDPYKKHYSV-VXNVDRBHSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6723,CNc1ncnc2c1ncn2Cc1ccc(F)cc1F,AZSXWEMWCMBJQH-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6812,Cc1c(NC(=O)Cc2ccc(Cl)c(Cl)c2)ccc2nc(N)nc(N)c12,CERIHBDDMDRFHT-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6746,Brc1cccc2c3c([nH]c12)C=NCC3,BHLUQLWTEJKCOP-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6835,COCc1c2ccoc2c(OC)c2oc(=O)ccc12,ADISAXBOSWJNRL-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL6837,Brc1ccc2nc(N3CCNCC3)cnc2c1,QXFRSOLPUISUHP-UHFFFAOYSA-N,8,2;2;2;2;1;1;1;1
CHEMBL6684,Nc1ccc2nc(N3CCNCC3)cnc2c1,SRSFLPMRIQTMOV-UHFFFAOYSA-N,8,2;2;2;2;1;1;1;1
CHEMBL6976,COc1cc2c(cc1OC)Nc1ncn(C)c(=O)c1C2,ZTVYMXRRHFGHRV-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL6773,Nc1ncnc2c1ncn2Cc1ccccc1F,DDRKFOWGDSOKQT-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL3310109,Cl.NC(N)=NC(=O)c1ccc2c(c1)C(O)c1cccc(Cl)c1-2,GLEHIAKCDYGKIE-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6643,CC1(C)CCN=C(N)C1,XVBNDSQIBBHCMM-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL3310112,Cl.NC(N)=NC(=O)c1ccc2c(c1)C(O)c1cccc(F)c1-2,VCUHHNMYBGUWIR-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6906,Nc1nc(N)c2c(Cl)c(NC(=O)CCc3ccc(Cl)cc3)ccc2n1,ZCLMWNIBTYPRRU-UHFFFAOYSA-N,8,2;2;1;1;1;1;1;1
CHEMBL6670,Clc1ccc2nc(N3CCNCC3)cnc2c1,PSJNXVYMPJQNGI-UHFFFAOYSA-N,8,2;2;2;2;1;1;1;1
CHEMBL7142,Cn1c2ccccc2n2c(=O)c(-c3cccs3)nnc12,NFPMWVSRTRIRJL-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6628,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,ODKNJVUHOIMIIZ-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6756,Fc1cccc2ncc(N3CCNCC3)nc12,CLGWFMYFHBGMHA-UHFFFAOYSA-N,8,2;2;2;2;1;1;1;1
CHEMBL7236,Oc1nc2ccccc2nc1N1CCNCC1,VBHKPSBTQOQTHK-UHFFFAOYSA-N,8,2;2;2;2;1;1;1;1
CHEMBL3310046,CCn1c(=O)c2ccccc2n2nc(SC)nc12,VOQCPZHIMHMLAU-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL3310238,Cc1nc(NC(=O)c2ccc3c(c2)OCO3)c(C)c(C)c1O,AGWAFUIZCQOQKP-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL6936,CCOC(=O)C1=C(O)C(=O)N(c2ccccc2)C1,GQWLFHZHHVTAOT-UHFFFAOYSA-N,8,3;2;2;1;1;1;1;1
CHEMBL7055,N#Cc1ccc2nc(N3CCNCC3)cnc2c1,CJYRCGCHBUJFCY-UHFFFAOYSA-N,8,2;2;2;2;1;1;1;1
CHEMBL6808,CC1CCN=C(N)C1,GGDLOMFAKKVDPT-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6830,Cc1ccc(Sc2cncc3sc(C(N)=O)cc23)c(C)c1,QFOXETVRYKJOAL-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL6854,CNc1ncnc2c1ncn2Cc1cccc(F)c1F,YSDYPDMDMYEXPY-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL7056,Fc1cccc2nc(N3CCNCC3)cnc12,CTGIFZVUWYHKBU-UHFFFAOYSA-N,8,2;2;2;2;1;1;1;1
CHEMBL6656,NC1=Nc2ccccc2CC1,RREBANHDFAXBEZ-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7020,Fc1ccc2nc(N3CCNCC3)cnc2c1,NMCQXDJTORJDTL-UHFFFAOYSA-N,8,2;2;2;2;1;1;1;1
CHEMBL7022,Clc1nc2ccccc2nc1N1CCNCC1,MRDAZRADHJDBEF-UHFFFAOYSA-N,8,2;2;2;2;1;1;1;1
CHEMBL7517,Oc1cc2c(cc1Sc1ccncc1)OCC2,PEURVWNJXMRRHV-UHFFFAOYSA-N,8,2;2;1;1;1;1;1;1
CHEMBL7091,CC1CCc2nc(N)nc(N)c2C1,NQHPYDRZSXDOSD-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL3310405,CCNC(=O)Cc1nc(-c2ncc(C#N)c(C)c2O)sc1C,FLQPXJWSHIMMJF-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL7339,COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)coc2c1,LDUNOFBTXWMVEY-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL3310668,COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)Nc1ccc(C#N)cc1,KAEGZUKFDVRWOA-UHFFFAOYSA-N,8,3;2;2;1;1;1;1;1
CHEMBL7185,N[C@@H]1CCc2cc(O)c(O)cc2[C@H]1O,DTKDYAXITHKMGK-GMSGAONNSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7422,Cc1c(C(=O)NC(CCC(=O)O)C(=O)O)ccc2nc(N)nc(N)c12,AUDXDSRGCVXLIU-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
