chembl_id,smiles,inchikey,n_groups,group_sizes
CHEMBL6395,Cc1ccc2c(c1)C1(OCCO1)C(=O)N2,WEKVUWUYWCGLCK-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL503814,NC(=S)N/N=C/CC(=O)c1ccccc1,QBNWHVLIBMFFSA-KPKJPENVSA-N,8,1;1;1;1;1;1;1;1
CHEMBL506172,Nc1nc(N)nc(SCC(=O)NCc2ccc(F)cc2)n1,KRGHQSAXKPXGBM-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL499823,COc1cccc(N2c3ccc(Cl)cc3S(=O)(=O)c3c(N)n[nH]c32)c1,YDLSYJWBFUYFOK-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL538639,CNc1ncnc2c1ncn2[C@@H]1OC[C@@H](O)[C@H]1O,ZLRVTHOKQKAERD-VISXPRAWSA-N,8,3;1;1;1;1;1;1;1
CHEMBL603409,Cc1nc2c(s1)Cc1cccc(OCP(=O)(O)O)c1-2,DLAWXUQOWZHAQZ-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL9143,C#CCN(C)/N=N/c1ccc(C(=O)O)cc1,ZIUUKBLFTGUUNB-OUKQBFOZSA-N,8,3;1;1;1;1;1;1;1
CHEMBL9323,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O,PADQINQHPQKXNL-LSDHHAIUSA-N,8,1;1;1;1;1;1;1;1
CHEMBL9123,O=C1CCN(N2C(=O)c3ccccc3C2=O)C(=O)N1,OLUNQQVFUJWJHU-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL9414,FC(F)(F)[C@H]1Cc2ccc(Br)cc2CN1,PEEKNBLYJJEHJI-SECBINFHSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6622,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],MOYKHGMNXAOIAT-JGWLITMVSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6355,O=c1oc2ccccc2c2ccccc12,TVKNXKLYVUVOCV-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6781,CCOC(=O)c1cc2ccccn2c(=O)n1,ZEQRWNXZVWBQHA-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6607,COc1cc(CC(C)N)c(OC)cc1Br,FXMWUTGUCAKGQL-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL6784,NS(=O)(=O)c1ccc(CCO)cc1,RYKHXKKLCRPAJP-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6532,C/N=C(/NC(N)=O)NC1c2cc(C#N)ccc2OC(C)(C)[C@H]1O,RPBAVDJWWGGNKS-KIYNQFGBSA-N,8,3;3;3;1;1;1;1;1
CHEMBL6787,CNc1ncnc2c1ncn2Cc1cc(F)ccc1F,CHDUJZHFIFHEHP-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6278,Cc1ccccc1Sc1cncc2sc(C(N)=O)cc12,UKYJEJDOFBKSDL-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL7087,NCCc1ccc(S(N)(=O)=O)cc1,FXNSVEQMUYPYJS-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7091,CC1CCc2nc(N)nc(N)c2C1,NQHPYDRZSXDOSD-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL3310405,CCNC(=O)Cc1nc(-c2ncc(C#N)c(C)c2O)sc1C,FLQPXJWSHIMMJF-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL7339,COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)coc2c1,LDUNOFBTXWMVEY-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL7185,N[C@@H]1CCc2cc(O)c(O)cc2[C@H]1O,DTKDYAXITHKMGK-GMSGAONNSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7422,Cc1c(C(=O)NC(CCC(=O)O)C(=O)O)ccc2nc(N)nc(N)c12,AUDXDSRGCVXLIU-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
